Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login and Switch Org,Chrome 138.0.7204.94,,,14-07-2025 14:46:31,14-07-2025 14:46:50,18.729s,FAILED
,,,,,,,
Test Cases/Login,Chrome 138.0.7204.94,,,14-07-2025 14:46:32,14-07-2025 14:46:44,12.118s,PASSED
"openBrowser("""")",Chrome 138.0.7204.94,,,14-07-2025 14:46:32,14-07-2025 14:46:38,5.610s,PASSED
navigateToUrl(G_SiteURL),Chrome 138.0.7204.94,,,14-07-2025 14:46:38,14-07-2025 14:46:39,0.915s,PASSED
maximizeWindow(),Chrome 138.0.7204.94,,,14-07-2025 14:46:39,14-07-2025 14:46:39,0.100s,PASSED
"setText(findTestObject(""Object Repository/Page_IBEX Payroll - Login/input_Username_Input.Username""), ""uat.dstewart"")",Chrome 138.0.7204.94,,,14-07-2025 14:46:39,14-07-2025 14:46:40,0.727s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_IBEX Payroll - Login/input_Show Password_Input.Password""), ""p4y+y39Ir5Oy1MY8jPt0uQ=="")",Chrome 138.0.7204.94,,,14-07-2025 14:46:40,14-07-2025 14:46:40,0.330s,PASSED
"click(findTestObject(""Object Repository/Page_IBEX Payroll - Login/input_Remember me_Input.Button""))",Chrome 138.0.7204.94,,,14-07-2025 14:46:40,14-07-2025 14:46:44,3.837s,PASSED
,,,,,,,
Test Cases/Switch Org,Chrome 138.0.7204.94,,,14-07-2025 14:46:44,14-07-2025 14:46:46,2.041s,PASSED
navigateToUrl(G_PayrollPage),Chrome 138.0.7204.94,,,14-07-2025 14:46:44,14-07-2025 14:46:44,0.324s,PASSED
"click(findTestObject(""Object Repository/Switch_Org/Page_IBEX Payroll - Home/a_swap_horiz Switch SetupSimpleDialog(orgCo_55ee7d""))",Chrome 138.0.7204.94,,,14-07-2025 14:46:44,14-07-2025 14:46:45,0.564s,PASSED
"click(findTestObject(""Object Repository/Switch_Org/Page_IBEX Payroll - Home/a_Anns Test Org""))",Chrome 138.0.7204.94,,,14-07-2025 14:46:45,14-07-2025 14:46:46,1.072s,PASSED
,,,,,,,
Test Cases/Logout and Close Browser,Chrome 138.0.7204.94,,,14-07-2025 14:46:48,14-07-2025 14:46:48,0.473s,FAILED
"click(findTestObject(""Object Repository/Page_IBEX Payroll - Home/a_exit_to_app Log Out""))",Chrome 138.0.7204.94,,,14-07-2025 14:46:48,14-07-2025 14:46:48,0.460s,FAILED
